Page,Date,Views,Page_Name,Project,Access,Agent,Year,Month,DayOfWeek,DayOfWeekName,Quarter,WeekOfYear
3C_zh.wikipedia.org_all-access_spider,2015-08-15,5.0,3C,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,33
4minute_zh.wikipedia.org_all-access_spider,2015-08-15,22.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,33
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-15,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,33
5566_zh.wikipedia.org_all-access_spider,2015-08-15,4.0,5566,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,33
91Days_zh.wikipedia.org_all-access_spider,2015-08-15,,91Days,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,33
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-15,38.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,33
AKB48_zh.wikipedia.org_all-access_spider,2015-08-15,44.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,33
2NE1_zh.wikipedia.org_all-access_spider,2015-08-16,4.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
2PM_zh.wikipedia.org_all-access_spider,2015-08-16,60.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
3C_zh.wikipedia.org_all-access_spider,2015-08-16,1.0,3C,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
4minute_zh.wikipedia.org_all-access_spider,2015-08-16,14.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-16,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
5566_zh.wikipedia.org_all-access_spider,2015-08-16,6.0,5566,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
91Days_zh.wikipedia.org_all-access_spider,2015-08-16,,91Days,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-16,12.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
AKB48_zh.wikipedia.org_all-access_spider,2015-08-16,15.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,33
2NE1_zh.wikipedia.org_all-access_spider,2015-08-17,15.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
2PM_zh.wikipedia.org_all-access_spider,2015-08-17,69.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
3C_zh.wikipedia.org_all-access_spider,2015-08-17,6.0,3C,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
4minute_zh.wikipedia.org_all-access_spider,2015-08-17,47.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-17,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
5566_zh.wikipedia.org_all-access_spider,2015-08-17,7.0,5566,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
91Days_zh.wikipedia.org_all-access_spider,2015-08-17,,91Days,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-17,37.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
AKB48_zh.wikipedia.org_all-access_spider,2015-08-17,13.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,34
2NE1_zh.wikipedia.org_all-access_spider,2015-08-18,25.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
2PM_zh.wikipedia.org_all-access_spider,2015-08-18,42.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
3C_zh.wikipedia.org_all-access_spider,2015-08-18,2.0,3C,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
4minute_zh.wikipedia.org_all-access_spider,2015-08-18,25.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-18,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
5566_zh.wikipedia.org_all-access_spider,2015-08-18,9.0,5566,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
91Days_zh.wikipedia.org_all-access_spider,2015-08-18,,91Days,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-18,87.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
AKB48_zh.wikipedia.org_all-access_spider,2015-08-18,19.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,34
2NE1_zh.wikipedia.org_all-access_spider,2015-08-19,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
2PM_zh.wikipedia.org_all-access_spider,2015-08-19,161.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
3C_zh.wikipedia.org_all-access_spider,2015-08-19,5.0,3C,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
4minute_zh.wikipedia.org_all-access_spider,2015-08-19,14.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-19,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
5566_zh.wikipedia.org_all-access_spider,2015-08-19,11.0,5566,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
91Days_zh.wikipedia.org_all-access_spider,2015-08-19,,91Days,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-19,66.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
AKB48_zh.wikipedia.org_all-access_spider,2015-08-19,12.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,34
2NE1_zh.wikipedia.org_all-access_spider,2015-08-20,5.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
2PM_zh.wikipedia.org_all-access_spider,2015-08-20,94.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
3C_zh.wikipedia.org_all-access_spider,2015-08-20,0.0,3C,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
4minute_zh.wikipedia.org_all-access_spider,2015-08-20,11.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-20,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
5566_zh.wikipedia.org_all-access_spider,2015-08-20,11.0,5566,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
91Days_zh.wikipedia.org_all-access_spider,2015-08-20,,91Days,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-20,90.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
AKB48_zh.wikipedia.org_all-access_spider,2015-08-20,6.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,34
2NE1_zh.wikipedia.org_all-access_spider,2015-08-21,6.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
2PM_zh.wikipedia.org_all-access_spider,2015-08-21,77.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
3C_zh.wikipedia.org_all-access_spider,2015-08-21,3.0,3C,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
4minute_zh.wikipedia.org_all-access_spider,2015-08-21,12.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-21,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
5566_zh.wikipedia.org_all-access_spider,2015-08-21,2.0,5566,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
91Days_zh.wikipedia.org_all-access_spider,2015-08-21,,91Days,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-21,64.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
AKB48_zh.wikipedia.org_all-access_spider,2015-08-21,11.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,34
2NE1_zh.wikipedia.org_all-access_spider,2015-08-22,20.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
2PM_zh.wikipedia.org_all-access_spider,2015-08-22,78.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
3C_zh.wikipedia.org_all-access_spider,2015-08-22,1.0,3C,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
4minute_zh.wikipedia.org_all-access_spider,2015-08-22,27.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-22,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
5566_zh.wikipedia.org_all-access_spider,2015-08-22,3.0,5566,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
91Days_zh.wikipedia.org_all-access_spider,2015-08-22,,91Days,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-22,402.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
AKB48_zh.wikipedia.org_all-access_spider,2015-08-22,12.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,34
2NE1_zh.wikipedia.org_all-access_spider,2015-08-23,3.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
2PM_zh.wikipedia.org_all-access_spider,2015-08-23,20.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
3C_zh.wikipedia.org_all-access_spider,2015-08-23,0.0,3C,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
4minute_zh.wikipedia.org_all-access_spider,2015-08-23,8.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-23,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
5566_zh.wikipedia.org_all-access_spider,2015-08-23,7.0,5566,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
91Days_zh.wikipedia.org_all-access_spider,2015-08-23,,91Days,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-23,86.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
AKB48_zh.wikipedia.org_all-access_spider,2015-08-23,24.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,34
2NE1_zh.wikipedia.org_all-access_spider,2015-08-24,14.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
2PM_zh.wikipedia.org_all-access_spider,2015-08-24,24.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
3C_zh.wikipedia.org_all-access_spider,2015-08-24,1.0,3C,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
4minute_zh.wikipedia.org_all-access_spider,2015-08-24,17.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-24,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
5566_zh.wikipedia.org_all-access_spider,2015-08-24,23.0,5566,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
91Days_zh.wikipedia.org_all-access_spider,2015-08-24,,91Days,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-24,90.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
AKB48_zh.wikipedia.org_all-access_spider,2015-08-24,27.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,35
2NE1_zh.wikipedia.org_all-access_spider,2015-08-25,46.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
2PM_zh.wikipedia.org_all-access_spider,2015-08-25,13.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
3C_zh.wikipedia.org_all-access_spider,2015-08-25,1.0,3C,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
4minute_zh.wikipedia.org_all-access_spider,2015-08-25,43.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-25,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
5566_zh.wikipedia.org_all-access_spider,2015-08-25,4.0,5566,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
91Days_zh.wikipedia.org_all-access_spider,2015-08-25,,91Days,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-25,30.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
AKB48_zh.wikipedia.org_all-access_spider,2015-08-25,60.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,1,Tuesday,3,35
2NE1_zh.wikipedia.org_all-access_spider,2015-08-26,5.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
2PM_zh.wikipedia.org_all-access_spider,2015-08-26,14.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
3C_zh.wikipedia.org_all-access_spider,2015-08-26,2.0,3C,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
4minute_zh.wikipedia.org_all-access_spider,2015-08-26,3.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-26,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
5566_zh.wikipedia.org_all-access_spider,2015-08-26,8.0,5566,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
91Days_zh.wikipedia.org_all-access_spider,2015-08-26,,91Days,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-26,86.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
AKB48_zh.wikipedia.org_all-access_spider,2015-08-26,11.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,2,Wednesday,3,35
2NE1_zh.wikipedia.org_all-access_spider,2015-08-27,5.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
2PM_zh.wikipedia.org_all-access_spider,2015-08-27,26.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
3C_zh.wikipedia.org_all-access_spider,2015-08-27,4.0,3C,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
4minute_zh.wikipedia.org_all-access_spider,2015-08-27,19.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-27,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
5566_zh.wikipedia.org_all-access_spider,2015-08-27,8.0,5566,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
91Days_zh.wikipedia.org_all-access_spider,2015-08-27,,91Days,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-27,61.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
AKB48_zh.wikipedia.org_all-access_spider,2015-08-27,18.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,3,Thursday,3,35
2NE1_zh.wikipedia.org_all-access_spider,2015-08-28,13.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
2PM_zh.wikipedia.org_all-access_spider,2015-08-28,8.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
3C_zh.wikipedia.org_all-access_spider,2015-08-28,2.0,3C,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
4minute_zh.wikipedia.org_all-access_spider,2015-08-28,14.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-28,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
5566_zh.wikipedia.org_all-access_spider,2015-08-28,10.0,5566,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
91Days_zh.wikipedia.org_all-access_spider,2015-08-28,,91Days,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-28,7.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
AKB48_zh.wikipedia.org_all-access_spider,2015-08-28,10.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,4,Friday,3,35
2NE1_zh.wikipedia.org_all-access_spider,2015-08-29,4.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
2PM_zh.wikipedia.org_all-access_spider,2015-08-29,82.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
3C_zh.wikipedia.org_all-access_spider,2015-08-29,1.0,3C,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
4minute_zh.wikipedia.org_all-access_spider,2015-08-29,20.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-29,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
5566_zh.wikipedia.org_all-access_spider,2015-08-29,5.0,5566,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
91Days_zh.wikipedia.org_all-access_spider,2015-08-29,,91Days,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-29,44.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
AKB48_zh.wikipedia.org_all-access_spider,2015-08-29,15.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,35
2NE1_zh.wikipedia.org_all-access_spider,2015-08-30,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
2PM_zh.wikipedia.org_all-access_spider,2015-08-30,22.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
3C_zh.wikipedia.org_all-access_spider,2015-08-30,1.0,3C,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
4minute_zh.wikipedia.org_all-access_spider,2015-08-30,43.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-30,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
5566_zh.wikipedia.org_all-access_spider,2015-08-30,8.0,5566,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
91Days_zh.wikipedia.org_all-access_spider,2015-08-30,,91Days,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-30,7.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
AKB48_zh.wikipedia.org_all-access_spider,2015-08-30,12.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,6,Sunday,3,35
2NE1_zh.wikipedia.org_all-access_spider,2015-08-31,10.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
2PM_zh.wikipedia.org_all-access_spider,2015-08-31,11.0,2PM,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
3C_zh.wikipedia.org_all-access_spider,2015-08-31,3.0,3C,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
4minute_zh.wikipedia.org_all-access_spider,2015-08-31,4.0,4minute,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-08-31,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
5566_zh.wikipedia.org_all-access_spider,2015-08-31,4.0,5566,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
91Days_zh.wikipedia.org_all-access_spider,2015-08-31,,91Days,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
A'N'D_zh.wikipedia.org_all-access_spider,2015-08-31,15.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
AKB48_zh.wikipedia.org_all-access_spider,2015-08-31,37.0,AKB48,zh.wikipedia.org,all-access,spider,2015,8,0,Monday,3,36
2NE1_zh.wikipedia.org_all-access_spider,2015-09-01,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
2PM_zh.wikipedia.org_all-access_spider,2015-09-01,81.0,2PM,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
3C_zh.wikipedia.org_all-access_spider,2015-09-01,4.0,3C,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
4minute_zh.wikipedia.org_all-access_spider,2015-09-01,5.0,4minute,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-09-01,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
5566_zh.wikipedia.org_all-access_spider,2015-09-01,4.0,5566,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
91Days_zh.wikipedia.org_all-access_spider,2015-09-01,,91Days,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
A'N'D_zh.wikipedia.org_all-access_spider,2015-09-01,11.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
AKB48_zh.wikipedia.org_all-access_spider,2015-09-01,18.0,AKB48,zh.wikipedia.org,all-access,spider,2015,9,1,Tuesday,3,36
2NE1_zh.wikipedia.org_all-access_spider,2015-09-02,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
2PM_zh.wikipedia.org_all-access_spider,2015-09-02,37.0,2PM,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
3C_zh.wikipedia.org_all-access_spider,2015-09-02,3.0,3C,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
4minute_zh.wikipedia.org_all-access_spider,2015-09-02,37.0,4minute,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-09-02,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
5566_zh.wikipedia.org_all-access_spider,2015-09-02,8.0,5566,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
91Days_zh.wikipedia.org_all-access_spider,2015-09-02,,91Days,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
A'N'D_zh.wikipedia.org_all-access_spider,2015-09-02,61.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
AKB48_zh.wikipedia.org_all-access_spider,2015-09-02,15.0,AKB48,zh.wikipedia.org,all-access,spider,2015,9,2,Wednesday,3,36
2NE1_zh.wikipedia.org_all-access_spider,2015-09-03,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
2PM_zh.wikipedia.org_all-access_spider,2015-09-03,9.0,2PM,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
3C_zh.wikipedia.org_all-access_spider,2015-09-03,6.0,3C,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
4minute_zh.wikipedia.org_all-access_spider,2015-09-03,23.0,4minute,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-09-03,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
5566_zh.wikipedia.org_all-access_spider,2015-09-03,18.0,5566,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
91Days_zh.wikipedia.org_all-access_spider,2015-09-03,,91Days,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
A'N'D_zh.wikipedia.org_all-access_spider,2015-09-03,9.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
AKB48_zh.wikipedia.org_all-access_spider,2015-09-03,7.0,AKB48,zh.wikipedia.org,all-access,spider,2015,9,3,Thursday,3,36
2NE1_zh.wikipedia.org_all-access_spider,2015-09-04,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
2PM_zh.wikipedia.org_all-access_spider,2015-09-04,40.0,2PM,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
3C_zh.wikipedia.org_all-access_spider,2015-09-04,6.0,3C,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
4minute_zh.wikipedia.org_all-access_spider,2015-09-04,14.0,4minute,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-09-04,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
5566_zh.wikipedia.org_all-access_spider,2015-09-04,6.0,5566,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
91Days_zh.wikipedia.org_all-access_spider,2015-09-04,,91Days,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
A'N'D_zh.wikipedia.org_all-access_spider,2015-09-04,23.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
AKB48_zh.wikipedia.org_all-access_spider,2015-09-04,25.0,AKB48,zh.wikipedia.org,all-access,spider,2015,9,4,Friday,3,36
2NE1_zh.wikipedia.org_all-access_spider,2015-09-05,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,9,5,Saturday,3,36
2PM_zh.wikipedia.org_all-access_spider,2015-09-05,47.0,2PM,zh.wikipedia.org,all-access,spider,2015,9,5,Saturday,3,36
3C_zh.wikipedia.org_all-access_spider,2015-09-05,4.0,3C,zh.wikipedia.org,all-access,spider,2015,9,5,Saturday,3,36
4minute_zh.wikipedia.org_all-access_spider,2015-09-05,12.0,4minute,zh.wikipedia.org,all-access,spider,2015,9,5,Saturday,3,36
